epsilon_progress,nfe
0,0
22,100
76,1194
136,2285
188,3378
234,4464
275,5532
299,6599
306,7636
313,8672
319,9697
327,10774
328,11825
328,12871
328,13913
328,14937
328,15947
328,17000
328,18059
328,19107
328,20147
328,21167
328,22215
328,23260
328,24307
328,25371
328,26415
328,27445
328,28499
328,29539
328,30547
328,31586
328,32652
328,33711
328,34754
328,35787
328,36834
328,37884
328,38930
328,39987
328,41025
328,42058
328,43102
328,44134
328,45167
328,46201
328,47226
328,48253
328,49279
328,50333
328,51395
328,52433
328,53466
328,54498
328,55537
328,56572
328,57598
328,58637
328,59675
328,60718
328,61750
328,62761
328,63796
328,64821
328,65863
328,66897
328,67951
328,68994
328,70035
328,71062
328,72090
328,73125
328,74181
328,75207
328,76259
328,77319
328,78354
328,79376
328,80410
328,81468
328,82496
328,83537
328,84585
328,85639
328,86690
328,87724
328,88753
328,89797
328,90850
328,91900
328,92934
328,93972
328,95014
328,96044
328,97111
328,98120
328,99158
328,100075
