A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,Total Costs,Expected Number of Deaths,Expected Annual Damage,Dike Investment Costs
1,0,0,1,0,0,4,0,0,2,0,0,2,0,0,3,177688414.43369427,0.004684980967538874,45434701.6582848,132253712.77540945
2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,169779828.36091208,0.010990687392453834,100994512.45292681,68785315.90798524
2,0,0,3,0,0,4,0,0,2,0,0,4,0,0,3,160100000.9427516,0.0007412800591442523,7889521.8235241035,152210479.1192275
2,0,0,2,0,0,4,0,0,2,0,0,3,0,0,3,164736110.16497967,0.00234612355586778,20575505.4521716,144160604.71280807
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,429354375.0731699,0.05211053500447294,423033574.7635037,6320800.309666242
2,0,0,1,0,0,3,0,0,0,0,0,2,0,0,3,184074678.9085965,0.006197945589290116,56798091.30071372,127276587.60788277
2,0,0,3,0,0,4,0,0,1,0,0,3,0,0,3,163451415.24084678,0.001202352287195855,15277806.54629194,148173608.69455487
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,430704326.7896399,0.05253617849963363,430704326.7896399,0.0
2,0,0,1,0,0,4,0,0,2,0,0,2,0,0,4,166791815.0825265,0.003384344196153457,29977800.16417692,136814014.9183496
2,0,0,1,0,0,4,0,0,0,0,0,2,0,0,3,178319204.82135272,0.004489953758512404,48837270.122524895,129481934.69882782
1,0,0,1,0,0,4,0,0,0,0,0,2,0,0,3,189215804.17252046,0.005790590529897821,64294171.616632774,124921632.55588767
