Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
2449551957.391081,149184888.60441038,0
96719737.98820344,149184888.60441038,0
746558831.4655936,149184888.60441038,0
5135140.402367956,149184888.60441038,0
0.0,149184888.60441038,0
24919804.379343834,149184888.60441038,0
41215535.18233407,149184888.60441038,0
925850589.0662248,149184888.60441038,0
188087586.50740647,149184888.60441038,0
382156020.3047717,149184888.60441038,0
40863963.75983097,149184888.60441038,0
18738025.747497104,149184888.60441038,0
248181230.45766994,149184888.60441038,0
98692082.86512613,149184888.60441038,0
525091381.3854644,149184888.60441038,0
53578192.843809724,149184888.60441038,0
3369290999.067316,149184888.60441038,0
30302161.344662495,149184888.60441038,0
1923178557.456818,149184888.60441038,0
172451510.71142468,149184888.60441038,0
389939634.46111226,149184888.60441038,0
11342497.18688697,149184888.60441038,0
2578703659.7282662,149184888.60441038,0
80921543.82462965,149184888.60441038,0
39377630.79120094,149184888.60441038,0
1028588081.9403327,149184888.60441038,0
16085393.90607274,149184888.60441038,0
80390933.33639999,149184888.60441038,0
10858738.515495313,149184888.60441038,0
173273053.5692942,149184888.60441038,0
217674235.30875582,149184888.60441038,0
60827165.63650994,149184888.60441038,0
182359466.02614126,149184888.60441038,0
1144902252.9923973,149184888.60441038,0
0.0,149184888.60441038,0
2625558498.5237384,149184888.60441038,0
26878202.944638826,149184888.60441038,0
231547456.81028754,149184888.60441038,0
426498623.53222156,149184888.60441038,0
2165819767.758137,149184888.60441038,0
52549884.67167252,149184888.60441038,0
506023524.02133167,149184888.60441038,0
321597277.2224356,149184888.60441038,0
307595717.7670847,149184888.60441038,0
317706199.4256697,149184888.60441038,0
106269612.36235476,149184888.60441038,0
84886960.27247743,149184888.60441038,0
243472441.95323858,149184888.60441038,0
3568099868.0824213,149184888.60441038,0
4532245.570925951,149184888.60441038,0
10221108.2509708,149184888.60441038,0
33947306.918772295,149184888.60441038,0
156349118.96944067,149184888.60441038,0
444064785.6685847,149184888.60441038,0
2511579738.391797,149184888.60441038,0
162774546.06861964,149184888.60441038,0
40283070.35829888,149184888.60441038,0
39392863.67624835,149184888.60441038,0
2010316005.143199,149184888.60441038,0
144531088.11630553,149184888.60441038,0
79262308.18961224,149184888.60441038,0
242088408.93469447,149184888.60441038,0
193146585.00428197,149184888.60441038,0
743152763.7311686,149184888.60441038,0
78667919.49168493,149184888.60441038,0
23055698.40155506,149184888.60441038,0
9044785.091304852,149184888.60441038,0
41349862.510521755,149184888.60441038,0
11904441.79847914,149184888.60441038,0
2713962198.325141,149184888.60441038,0
128143744.84373051,149184888.60441038,0
48615870.392204724,149184888.60441038,0
82053929.79983953,149184888.60441038,0
35194582.514364205,149184888.60441038,0
27195699.639785964,149184888.60441038,0
15676257.432004957,149184888.60441038,0
21336980.70012427,149184888.60441038,0
2744020483.3868093,149184888.60441038,0
2073872236.5506191,149184888.60441038,0
38468053.03560044,149184888.60441038,0
124710751.43849818,149184888.60441038,0
2397889053.7301726,149184888.60441038,0
127126626.38598287,149184888.60441038,0
130443755.64741305,149184888.60441038,0
74060742.29378003,149184888.60441038,0
87083016.87349713,149184888.60441038,0
22625874.612646874,149184888.60441038,0
233171713.19015247,149184888.60441038,0
3045984822.374813,149184888.60441038,0
740602005.7026982,149184888.60441038,0
60647629.08281222,149184888.60441038,0
699272666.5914748,149184888.60441038,0
53494.92940883283,149184888.60441038,0
118310168.18256696,149184888.60441038,0
101382558.79746935,149184888.60441038,0
313200266.966753,149184888.60441038,0
3221221084.595475,149184888.60441038,0
365269767.8273958,149184888.60441038,0
63703965.849447414,149184888.60441038,0
413355475.4971867,149184888.60441038,0
85693713.73958531,149184888.60441038,0
20064460.606460966,149184888.60441038,0
2412194818.3214855,149184888.60441038,0
119126090.28664994,149184888.60441038,0
142206540.66260648,149184888.60441038,0
4700870.907047043,149184888.60441038,0
46597982.11109702,149184888.60441038,0
83661531.17772704,149184888.60441038,0
2391481036.02143,149184888.60441038,0
2386595373.375728,149184888.60441038,0
749342744.3926966,149184888.60441038,0
2714947534.6459017,149184888.60441038,0
138191849.51554903,149184888.60441038,0
48834408.37072477,149184888.60441038,0
122715320.31895402,149184888.60441038,0
2183974978.531534,149184888.60441038,0
232834278.1519663,149184888.60441038,0
183508445.35190317,149184888.60441038,0
19013469.19995997,149184888.60441038,0
481556988.7073536,149184888.60441038,0
1557730931.6407835,149184888.60441038,0
936885419.8358163,149184888.60441038,0
994455135.5534426,149184888.60441038,0
489622984.9417699,149184888.60441038,0
73022381.21048158,149184888.60441038,0
188872708.74439338,149184888.60441038,0
9685085.463592038,149184888.60441038,0
12318901.564310716,149184888.60441038,0
106003264.75443617,149184888.60441038,0
415208419.23522526,149184888.60441038,0
68886424.17704359,149184888.60441038,0
105048031.14100161,149184888.60441038,0
20358433.50099723,149184888.60441038,0
559668203.2895992,149184888.60441038,0
86129071.18883349,149184888.60441038,0
2779037106.478378,149184888.60441038,0
195088025.86519974,149184888.60441038,0
177849055.9032744,149184888.60441038,0
2741305279.9246106,149184888.60441038,0
43907085.52411753,149184888.60441038,0
471600175.6811493,149184888.60441038,0
50805422.97993899,149184888.60441038,0
203466083.50515792,149184888.60441038,0
329809068.37728244,149184888.60441038,0
20543196.947763287,149184888.60441038,0
545776924.00568,149184888.60441038,0
7301123.904673872,149184888.60441038,0
67146008.37552676,149184888.60441038,0
518920553.5822642,149184888.60441038,0
71140782.05770364,149184888.60441038,0
62155659.533334956,149184888.60441038,0
2683426049.511712,149184888.60441038,0
2486320108.386881,149184888.60441038,0
2721775897.0177627,149184888.60441038,0
274514222.5355866,149184888.60441038,0
10834268.99752954,149184888.60441038,0
255953913.6387427,149184888.60441038,0
396952720.7558029,149184888.60441038,0
255536706.01895112,149184888.60441038,0
65616708.39123216,149184888.60441038,0
44731800.95941703,149184888.60441038,0
61506894.373456515,149184888.60441038,0
25252226.01565665,149184888.60441038,0
19504655.16235442,149184888.60441038,0
2335169938.2567725,149184888.60441038,0
119121792.51604903,149184888.60441038,0
2540292089.82259,149184888.60441038,0
44434893.10866965,149184888.60441038,0
2429824114.220422,149184888.60441038,0
2229872592.431381,149184888.60441038,0
3830406.526034006,149184888.60441038,0
38846174.85994157,149184888.60441038,0
1190490915.7634852,149184888.60441038,0
3701208637.890147,149184888.60441038,0
75102789.96907774,149184888.60441038,0
1565949484.8864162,149184888.60441038,0
3727252.8307436444,149184888.60441038,0
755572116.0748154,149184888.60441038,0
80765594.70022659,149184888.60441038,0
32482721.743001767,149184888.60441038,0
202496305.0543827,149184888.60441038,0
81871547.29978442,149184888.60441038,0
0.0,149184888.60441038,0
23713216.864298373,149184888.60441038,0
21767671.754128028,149184888.60441038,0
2134303058.9205642,149184888.60441038,0
158935293.68699774,149184888.60441038,0
194959027.35595798,149184888.60441038,0
228362933.41941643,149184888.60441038,0
17258244.725617155,149184888.60441038,0
183733983.14228377,149184888.60441038,0
166228917.2468774,149184888.60441038,0
612942743.027955,149184888.60441038,0
55672496.67906461,149184888.60441038,0
93329495.26525271,149184888.60441038,0
75526835.4836582,149184888.60441038,0
13161661.429865079,149184888.60441038,0
