,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
0,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44400,DikeIncrease_1,dikesnet,109603907.40685806,380502892.142874,0
1,74,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44401,DikeIncrease_1,dikesnet,158575408.86632815,380502892.142874,0
2,10,72.60015487670898,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44402,DikeIncrease_1,dikesnet,109603907.40685806,380502892.142874,0
3,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44403,DikeIncrease_1,dikesnet,109603907.40685806,380502892.142874,0
4,10,242.9075574874878,1.5,0.5254230629652739,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44404,DikeIncrease_1,dikesnet,113276868.08023548,380502892.142874,0
5,10,242.9075574874878,1.5,0.5743845021352172,82.97009140253067,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44405,DikeIncrease_1,dikesnet,114614386.63345113,380502892.142874,0
6,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44406,DikeIncrease_1,dikesnet,109603907.40685806,380502892.142874,0
7,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.5589545890688896,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44407,DikeIncrease_1,dikesnet,104343583.99629769,380502892.142874,0
8,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,180.0575903058052,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44408,DikeIncrease_1,dikesnet,109603907.40685806,380502892.142874,0
9,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.0,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44409,DikeIncrease_1,dikesnet,109603907.40685806,380502892.142874,0
10,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.8371761282905936,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44410,DikeIncrease_1,dikesnet,109603907.40685806,380502892.142874,0
11,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,107.1644252538681,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44411,DikeIncrease_1,dikesnet,109603907.40685806,380502892.142874,0
12,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.1926069501787424,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44412,DikeIncrease_1,dikesnet,109603907.40685806,380502892.142874,0
13,10,242.9075574874878,1.5,0.5743845021352172,299.20623272657394,10.0,0.1858269777148962,88.10243457555771,1.5,0.7913327598944306,56.2159189581871,1.0,0.0777966445311904,184.07569468021393,1.0,0.20495346188545227,4.5,2.5,3.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44413,DikeIncrease_1,dikesnet,153667393.16949964,380502892.142874,0
