epsilon_progress,nfe
0,0
17,100
70,1198
116,2294
167,3386
211,4471
241,5534
251,6538
259,7565
263,8602
268,9629
273,10654
279,11698
284,12744
287,13800
288,14839
289,15890
292,16935
297,17993
298,19054
302,20172
305,21191
305,22195
305,23207
305,24350
305,25362
305,26381
305,27528
305,28550
305,29569
305,30594
305,31602
305,32604
305,33614
305,34642
305,35657
305,36673
305,37684
305,38692
305,39697
305,40719
305,41726
305,42736
305,43737
305,44877
305,45884
305,47028
305,48040
305,49055
305,50060
305,51204
305,52205
305,53222
305,54231
305,55231
305,56376
305,57390
305,58412
305,59548
305,60560
305,61573
305,62707
305,63710
305,64717
305,65735
305,66750
305,67759
305,68772
305,69793
305,70807
305,71829
305,72846
305,73864
305,74887
305,76021
305,77027
305,78036
305,79047
305,80190
305,81322
305,82461
305,83474
305,84482
305,85615
305,86752
305,87759
305,88763
305,89769
305,90770
305,91783
305,92910
305,94041
305,95179
305,96321
305,97321
305,98327
305,99463
305,100037
