epsilon_progress,nfe
0,0
5,100
52,1193
96,2290
127,3389
172,4461
193,5534
199,6625
205,7697
209,8780
212,9871
213,10877
214,11960
214,12961
214,13969
216,15049
218,16060
222,17073
224,18109
227,19150
229,20186
235,21225
239,22255
239,23302
239,24335
239,25379
239,26419
240,27455
241,28497
241,29577
241,30654
241,31708
241,32762
241,33818
241,34870
241,35946
241,37011
241,38059
241,39125
241,40197
241,41247
241,42288
241,43347
241,44420
241,45483
241,46549
241,47607
241,48654
241,49729
241,50799
241,51861
241,52890
241,53949
241,55018
241,56078
241,57134
241,58183
241,59237
241,60306
241,61355
241,62407
241,63484
241,64550
241,65605
241,66669
241,67723
241,68780
241,69867
241,70921
241,71998
241,73092
241,74150
241,75199
241,76258
253,77308
253,78403
253,79482
253,80544
253,81555
253,82606
253,83630
253,84659
253,85670
253,86687
256,87705
256,88819
256,89953
256,90964
256,91979
256,93098
256,94223
256,95364
256,96475
256,97480
256,98495
256,99636
256,100070
