,Total Costs,Expected Number of Deaths,Expected Annual Damage,Dike Investment Costs,RfR Total Costs
A.0_ID flood wave shape,0.0025837027128830427,0.00211142303805932,0.002794427347761412,0.07142857142857142,0.0
A.1_Bmax,0.003376555814425389,0.004347890554990599,0.0037067752802556857,9.191340495007195e-05,0.0
A.1_Brate,0.002197038935240198,0.0013635142562906293,0.0020972128597237846,0.0,0.0
A.1_pfail,0.6778932838369939,0.26515538410178247,0.6765981152337294,0.11647043789000144,0.0
A.2_Bmax,0.00197697448139742,0.0012310159164939326,0.0019244218152212765,0.2019737985148668,0.0
A.2_Brate,0.001675171779323913,0.0008955611254237194,0.0015326939125960863,0.07142924246159404,0.0
A.2_pfail,0.017496165904399254,0.012481364881246466,0.018123432251961336,0.0014759749687921486,0.0
A.3_Bmax,0.0020765381271228046,0.0016507301676524167,0.002121815927164494,0.08443187189539389,0.0
A.3_Brate,0.00143874162225355,0.001377892542028383,0.0018398004703006204,0.0,0.0
A.3_pfail,0.20638441590932666,0.6777539779822948,0.2075514460783819,0.0,0.0
A.4_Bmax,0.0020110445614356606,0.001319104024424772,0.0020549879165519067,0.07143125556066192,0.0
A.4_Brate,0.0016143145952669117,0.000945131285686082,0.0017223060437002661,1.6440309054324062e-05,0.0
A.4_pfail,0.0033152603230103186,0.0019322503541791163,0.002836749173197215,0.08531825879594065,0.0
A.5_Bmax,0.002752589752356414,0.0014981256162961765,0.0029567989064918734,0.07247044719471744,0.0
A.5_Brate,0.0019354486054002573,0.0013486239142127122,0.0017837688246479918,0.07142857142857142,0.0
A.5_pfail,0.025872680112912817,0.020714211014938297,0.026152505991388145,1.3840056091650359e-05,0.0
discount rate 0,0.03171827228042453,0.001169822535075841,0.030980324548233906,0.05905913767376108,0.0
discount rate 1,0.008919704490422384,0.0013602893932659161,0.008388042783434912,0.09262009611218663,0.0
discount rate 2,0.004762096155404617,0.0013436872956583195,0.004834374635257956,0.00034014230484491167,0.0
