A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,Total Costs,Expected Number of Deaths,Expected Annual Damage,Dike Investment Costs
6,0,0,4,0,0,10,1,0,3,0,0,4,0,0,3,230991812.92322323,0.0008161367159651446,2464796.503759004,228527016.41946423
5,0,0,4,0,0,10,0,0,3,0,0,3,0,0,3,202217649.9117103,0.0027214441832327857,11866616.015971959,190351033.89573833
6,0,0,4,0,0,10,0,0,3,0,0,3,0,0,3,206340697.68059516,0.0024484101478954336,9244857.12871957,197095840.5518756
5,0,0,3,0,0,10,0,0,2,0,0,3,0,0,4,197250383.55236727,0.002947522880857547,13536551.170825982,183713832.38154128
6,0,0,4,0,0,10,0,0,2,0,0,3,0,0,3,205436339.0236945,0.0024665609396170396,9461825.948905133,195974513.07478935
6,0,0,3,0,0,10,1,0,3,0,0,3,0,0,3,223903314.7059638,0.0010240646218682998,3917762.8384274645,219985551.86753634
5,0,0,3,0,0,10,1,0,3,0,0,3,0,0,3,219780266.9370789,0.0012970986572056519,6539521.725679854,213240745.21139905
6,0,0,3,0,0,10,0,0,3,0,0,3,0,0,3,202277789.97815284,0.0026563380537985887,10697823.463388031,191579966.51476482
6,0,0,3,0,0,10,1,0,2,0,0,3,0,0,3,223793876.46480337,0.0011029626313784635,4929652.074353302,218864224.3904501
6,0,0,3,0,0,10,0,0,2,0,0,3,0,0,3,201373431.32125214,0.0026744888455201947,10914792.283573594,190458639.03767857
5,0,0,3,0,0,10,1,0,2,0,0,3,0,0,3,219670828.6959185,0.0013759966667158156,7551410.961605691,212119417.7343128
5,0,0,0,0,0,9,0,0,1,0,0,0,0,0,4,149221823.61678633,0.006508835624773905,48319465.749585345,100902357.867201
5,0,0,3,0,0,10,0,0,3,0,0,3,0,0,4,198154742.20926794,0.0029293720891359408,13319582.35064042,184835159.85862753
5,0,0,4,0,0,10,0,0,2,0,0,3,0,0,3,201313291.2548096,0.0027395949749543917,12083584.836157521,189229706.4186521
5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,146253178.74968493,0.006753065637039951,51671621.19215017,94581557.55753475
0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,3,2618840793.223444,0.24056325646182597,2571910941.5432005,46929851.6802434
4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,454527770.020565,0.08086637314176563,375281024.34039915,79246745.68016584
6,0,0,1,0,0,10,0,0,2,0,0,1,0,0,3,191481017.41026437,0.0022441414800132542,15934267.940128095,175546749.47013628
3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,1461016957.1170728,0.24716177671455428,1389927054.3320875,71089902.78498524
6,0,0,4,0,0,10,1,0,2,0,0,4,0,0,3,231063350.11031288,0.0009091547840603656,3657661.167934902,227405688.94237798
6,0,0,0,0,0,9,0,0,1,0,0,0,0,0,3,153344871.38567123,0.0062358015894365525,45697706.862332955,107647164.52333827
3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,875710922.4905114,0.10415646349706412,802020619.1174235,73690303.3730879
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,2705281241.9113092,0.2661852476684055,2673882444.192598,31398797.71871161
4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,193575150.63171276,0.012217974936842485,105118151.29968138,88456999.3320314
5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,226487709.32216382,0.02888484583218569,138293641.39688367,88194067.92528014
0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,2612882889.1280804,0.24058982783166732,2572273837.757503,40609051.370577164
0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,2635589653.6406884,0.2480039740162907,2601368091.9023657,34221561.73832255
5,0,0,1,0,0,10,0,0,2,0,0,1,0,0,3,187357969.64137948,0.0025171755153506063,18556026.827380486,168801942.813999
5,0,0,1,0,0,10,0,0,1,0,0,1,0,0,3,189550522.9997409,0.0027718700511285776,21759860.09559748,167790662.90414345
5,0,0,1,0,0,10,0,0,0,0,0,1,0,0,3,186705532.43258452,0.0030317464526789647,25235669.83810733,161469862.59447718
4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,273809681.2041917,0.03434975513198822,191740171.5044149,82069509.69977678
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,2930132353.369754,0.32138514329295825,2901333956.239145,28798397.130608946
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1932293567.6469097,0.4418775842166712,1878321061.459952,53972506.18695759
5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,176492577.90371335,0.015417686503596137,85235033.81619634,91257544.08751702
0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3279277475.9404683,0.4034937538801393,3252874096.398162,26403379.542306438
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1936416615.4157946,0.4416045501813339,1875699302.5726998,60717312.84309486
3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,734826928.3181641,0.06807927382240547,658313860.9254653,76513067.39269884
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4329746505.117692,0.6496070896351371,4329746505.117692,0.0
0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,2618492633.3230352,0.2428938322427407,2581207595.422476,37285037.900559425
4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,223814549.7857412,0.02088259580339867,138681563.92372754,85132985.86201367
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1979615539.5289373,0.44734249351647376,1931767591.5674832,47847947.961454235
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4095453484.006909,0.5905303643519171,4071255451.5555477,24198032.45136138
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2504270378.656474,0.49610970867110993,2461978873.0020976,42291505.65437629
