Expected Annual Damage,Dike Investment Costs,RfR Investment Costs
467169699.21457356,149184888.60441038,0
6302565.580497653,149184888.60441038,0
414467844.4235676,149184888.60441038,0
1506840212.7477405,149184888.60441038,0
105851618.01953587,149184888.60441038,0
24433887.91567533,149184888.60441038,0
1092939490.480684,149184888.60441038,0
113670249.25899063,149184888.60441038,0
558866.5492016814,149184888.60441038,0
1103500019.9772923,149184888.60441038,0
140825378.55570704,149184888.60441038,0
129191571.49947432,149184888.60441038,0
2208646199.147956,149184888.60441038,0
44277900.85088385,149184888.60441038,0
0.0,149184888.60441038,0
94140432.00753838,149184888.60441038,0
189181313.31001234,149184888.60441038,0
2947846207.810146,149184888.60441038,0
149174989.7849631,149184888.60441038,0
14380989.16366852,149184888.60441038,0
160415616.9203385,149184888.60441038,0
300484201.0395634,149184888.60441038,0
3258039445.106511,149184888.60441038,0
132392799.15916064,149184888.60441038,0
285398974.0819801,149184888.60441038,0
143741504.75773743,149184888.60441038,0
17123364.400348898,149184888.60441038,0
33838564.520634994,149184888.60441038,0
53352801.146468356,149184888.60441038,0
1462114855.2547317,149184888.60441038,0
373820366.1795533,149184888.60441038,0
84876312.08233292,149184888.60441038,0
67544655.80369836,149184888.60441038,0
2304989651.089452,149184888.60441038,0
47782120.26020279,149184888.60441038,0
23674181.72443664,149184888.60441038,0
169058644.49183637,149184888.60441038,0
1895022.7594262087,149184888.60441038,0
2690261758.5780845,149184888.60441038,0
1417586883.429931,149184888.60441038,0
66492852.40141759,149184888.60441038,0
175130423.7966155,149184888.60441038,0
84435720.79643446,149184888.60441038,0
210484903.44482386,149184888.60441038,0
2454124041.436901,149184888.60441038,0
171542613.0848524,149184888.60441038,0
29804017.404783778,149184888.60441038,0
328898876.58051795,149184888.60441038,0
425498590.3898382,149184888.60441038,0
2874932.7113968683,149184888.60441038,0
146794009.20472085,149184888.60441038,0
2982453200.856378,149184888.60441038,0
136523149.592397,149184888.60441038,0
181611328.81561586,149184888.60441038,0
2148521853.489376,149184888.60441038,0
2591488296.095404,149184888.60441038,0
47882471.41175239,149184888.60441038,0
270080841.2645085,149184888.60441038,0
158738010.23083854,149184888.60441038,0
165706158.44728938,149184888.60441038,0
210957616.52223492,149184888.60441038,0
