Parameter 1,Parameter 2,S2,S2_conf
A.0_ID flood wave shape,A.1_Bmax,-0.00013222147790275737,0.006349319901021407
A.0_ID flood wave shape,A.1_Brate,0.00011457688303724613,0.006316951537936063
A.0_ID flood wave shape,A.1_pfail,-0.0026440732689124724,0.0067390637610773895
A.0_ID flood wave shape,A.2_Bmax,0.00014266675157751307,0.006312818288223525
A.0_ID flood wave shape,A.2_Brate,0.000131034178992126,0.006317731065907956
A.0_ID flood wave shape,A.2_pfail,0.0004168419783260654,0.006158383365404778
A.0_ID flood wave shape,A.3_Bmax,0.00013793214314584718,0.006296033529270811
A.0_ID flood wave shape,A.3_Brate,0.00010363241959807345,0.006323510534014415
A.0_ID flood wave shape,A.3_pfail,0.0022403842102824423,0.005724934010812722
A.0_ID flood wave shape,A.4_Bmax,0.0001306045716325373,0.006317057904627142
A.0_ID flood wave shape,A.4_Brate,0.00013868222230059725,0.006316671394798299
A.0_ID flood wave shape,A.4_pfail,-8.482619380501813e-05,0.006332442389443111
A.0_ID flood wave shape,A.5_Bmax,0.0001361705821822782,0.006316730774408357
A.0_ID flood wave shape,A.5_Brate,0.0001361705821822782,0.006316730774408357
A.0_ID flood wave shape,A.5_pfail,-0.0001379960589260043,0.006352392260022365
A.0_ID flood wave shape,discount rate 0,0.001067862962802102,0.0060965327730393174
A.0_ID flood wave shape,discount rate 1,-0.00016110627882726916,0.006232648681308266
A.0_ID flood wave shape,discount rate 2,0.0002883055773027299,0.006320158252749357
A.1_Bmax,A.1_Brate,0.001106861858457466,0.009852635271463813
A.1_Bmax,A.1_pfail,-0.004122645359216026,0.017195610031413778
A.1_Bmax,A.2_Bmax,0.0010717979257623337,0.00983458484592619
A.1_Bmax,A.2_Brate,0.0011165014819616834,0.009864939333873914
A.1_Bmax,A.2_pfail,-0.00020270079008781645,0.008676903290533331
A.1_Bmax,A.3_Bmax,0.0010937925340758392,0.009854592865780635
A.1_Bmax,A.3_Brate,0.0011211540656420513,0.009852346427276695
A.1_Bmax,A.3_pfail,-0.007003750037840123,0.011620840667605487
A.1_Bmax,A.4_Bmax,0.0011063931652517773,0.009852710138387035
A.1_Bmax,A.4_Brate,0.0011062892325780452,0.009852721834048398
A.1_Bmax,A.4_pfail,0.0013214611166920184,0.0099941529828414
A.1_Bmax,A.5_Bmax,0.0011062459880245702,0.009852726729165982
A.1_Bmax,A.5_Brate,0.0011062459880245702,0.009852726729165982
A.1_Bmax,A.5_pfail,0.00037346944137507665,0.009876031493886961
A.1_Bmax,discount rate 0,0.0008508231197109899,0.009052873575400999
A.1_Bmax,discount rate 1,0.0007318023830365272,0.009146856342063976
A.1_Bmax,discount rate 2,0.0007598983685773763,0.010303683821531658
A.1_Brate,A.1_pfail,-8.87572728524022e-05,0.00036622323758665293
A.1_Brate,A.2_Bmax,7.490867171906074e-05,0.0003125044484814611
A.1_Brate,A.2_Brate,7.497536352775122e-05,0.0003125722629885968
A.1_Brate,A.2_pfail,6.81340749879699e-05,0.0003172151043092176
A.1_Brate,A.3_Bmax,7.497798771668388e-05,0.0003125940877391538
A.1_Brate,A.3_Brate,7.507495027734076e-05,0.0003125961428824382
A.1_Brate,A.3_pfail,9.509589707912269e-07,0.0002978333022936858
A.1_Brate,A.4_Bmax,7.506183266263247e-05,0.0003125620173392511
A.1_Brate,A.4_Brate,7.495790435562859e-05,0.0003125682080670878
A.1_Brate,A.4_pfail,7.611456684242235e-05,0.00031344557169680603
A.1_Brate,A.5_Bmax,7.491465980215289e-05,0.0003125707623094848
A.1_Brate,A.5_Brate,7.491465980215289e-05,0.0003125707623094848
A.1_Brate,A.5_pfail,1.0107771304643937e-05,0.000331588942343763
A.1_Brate,discount rate 0,5.336765827568951e-05,0.0003425243627984155
A.1_Brate,discount rate 1,8.463935185343621e-05,0.0003139956328383704
A.1_Brate,discount rate 2,6.136720969045478e-05,0.000309614880895991
A.1_pfail,A.2_Bmax,-0.0049846480655822804,0.13625558132394675
A.1_pfail,A.2_Brate,-0.004918176156354831,0.136277647335077
A.1_pfail,A.2_pfail,-0.004571012690037587,0.1364407820982072
A.1_pfail,A.3_Bmax,-0.004572422845638224,0.1363688882075664
