epsilon_progress,nfe
0,0
7,100
60,1194
109,2284
151,3371
191,4458
213,5511
221,6523
224,7534
229,8566
232,9604
235,10643
235,11692
235,12732
236,13767
236,14806
236,15849
236,16886
236,17918
236,18951
236,20009
236,21051
236,22065
236,23103
236,24150
237,25200
237,26248
237,27307
237,28348
238,29348
239,30411
239,31469
240,32523
240,33567
240,34604
240,35649
240,36697
240,37728
240,38767
240,39822
252,40873
252,41951
252,43010
252,44089
252,45152
252,46183
252,47203
252,48254
252,49292
252,50324
252,51376
252,52402
260,53460
260,54497
260,55617
260,56726
260,57823
260,58939
261,60051
261,61085
261,62093
261,63183
263,64301
263,65301
263,66377
263,67436
263,68530
263,69608
263,70653
263,71749
263,72833
264,73930
264,75034
264,76087
264,77144
264,78210
264,79293
264,80346
264,81429
264,82512
266,83588
266,84646
266,85711
266,86766
266,87855
266,88924
266,89966
266,91022
266,92059
266,93130
266,94188
266,95278
266,96360
266,97438
266,98444
266,99528
266,100029
