Total Costs,Expected Number of Deaths,Expected Annual Damage,Dike Investment Costs
364843391.96294725,0.06036286181850099,133060581.3277967,231782810.63515058
396472866.04511565,0.0,0.0,396472866.04511565
293048022.9922001,0.021729976866492046,28051372.73103542,264996650.26116467
317149048.30549693,0.010516852744943992,78657072.28878209,238491976.0167148
317466055.69659436,0.014586757710157824,84721875.72089404,232744179.97570032
313629665.9754844,0.00011264383050924361,1664314.169672982,311965351.8058114
310484941.5105398,0.009398414043768014,67817021.86384878,242667919.64669102
336555460.4662383,0.03229306681966877,174042858.43249518,162512602.0337432
335455019.8192661,0.11309295808487718,142009959.2053004,193445060.61396563
278368259.4038427,0.0007029340514535737,6125096.835245606,272243162.5685971
380413393.2920585,0.014805505605614354,157869895.84414324,222543497.44791532
327262424.8395181,7.29654669009173e-05,347593.5688618719,326914831.27065617
