Total Costs,Expected Number of Deaths,Expected Annual Damage,Dike Investment Costs
158829434.61314368,0.0009260961859953286,9644546.008733302,149184888.60441038
156029758.09691134,0.0006690610210671014,5723542.015414696,150306216.08149666
167309216.77556288,0.0032225944470201185,20329675.262097552,146979541.51346534
165866119.53819692,0.0023534670975825754,20584187.348302595,145281932.18989435
161260446.06865084,0.00028221218239384433,4164665.8388271723,157095780.22982368
164509540.25933057,0.002965559282091891,16408671.268778948,148100868.99055162
168665796.05442926,0.002610502262510803,24505191.3416212,144160604.71280807
163894906.7998168,0.0018241344887819791,24815394.489652943,139079512.31016386
168295862.46180186,0.003437895681152491,30360520.066365995,137935342.39543587
168793831.95696422,0.0035430004906771852,31979817.03861465,136814014.9183496
204678820.657533,0.014668749043469965,135893504.74954775,68785315.90798524
358183953.00743526,0.05149861190885261,313596669.5508114,44587283.45662385
173731268.2411024,0.003508540565297453,39676039.82254084,134055228.41856156
178334556.73848528,0.004530998310528553,48852622.03965749,129481934.69882782
163105657.0394843,0.0001302818269903113,1862958.817757223,161242698.22172704
205661559.46237808,0.014788886674627907,137887523.4642484,67774035.9981297
164555451.74223053,0.00781609157904653,70732921.74807155,93822529.99415897
186814338.9009045,0.006827496571553343,59537751.29302174,127276587.60788277
359166691.8122803,0.05161874954001055,315590688.265512,43576003.54676832
508453570.68373674,0.06433246510883636,502132770.3740705,6320800.309666242
511713736.01656824,0.06486274526116127,511713736.01656824,0.0
370672962.3756149,0.031105669660739684,348505144.1768111,22167818.198803753
194802139.15178668,0.006304818562379848,69880506.59589902,124921632.55588767
367412797.0427833,0.030575389508414774,338924178.5343134,28488618.508469995
166325918.25532398,0.0011802504851804948,19335514.31974682,146990403.93557715
165784045.17038146,0.0,0.0,165784045.17038146
249636022.00504532,0.023047802945132336,196641833.28356272,52994188.0
344122480.61232954,0.02568667623760771,296917448.3273521,47205032.0
237853665.9174598,0.02016577434376517,182990946.6244941,54862719.0
209512653.08974284,0.0161951454807089,131481250.2820865,78031402.0
221386083.5041584,0.018391954091913874,161963062.0682526,59423021.0
197730297.00215733,0.013313116879341733,117830363.6230179,79899933.0
225389307.20851097,0.01709298707880411,168496373.66298765,56892933.0
168798355.87990713,0.00846650936252938,82307906.10526992,86490449.0
181262714.58885592,0.011539296627490439,96802479.0667764,84460235.0
185265938.29320848,0.010240329614380674,103335790.66151144,81930147.0
208921724.79520962,0.015319166826952817,147468489.10674614,61453235.0
165538190.54707563,0.00793622921020447,72726940.46277219,92811250.0
382455318.4632004,0.033987698262106854,362156030.8358797,20299287.0
362426857.14511186,0.05214902969233546,325171653.90800977,37255203.0
355904836.6999151,0.02856870483897488,310568334.9864207,45336501.0
