Parameter,ST,ST_conf
A.0_ID flood wave shape,0.002824356376207069,0.0005235975551832135
A.1_Bmax,0.0019515963061592654,0.0012920202908532148
A.1_Brate,4.0020916549276606e-05,5.367487159186975e-05
A.1_pfail,0.5623618102519989,0.05874958265742582
A.2_Bmax,0.0001285294734356615,0.00016418295969420138
A.2_Brate,1.0569485531040267e-05,1.5130792596544607e-05
A.2_pfail,0.01637433729083906,0.0035964903218094744
A.3_Bmax,0.00039730944782891776,0.0005112402752838481
A.3_Brate,9.600403348577406e-06,1.3779450336681997e-05
A.3_pfail,0.1748212107140764,0.025119104441720906
A.4_Bmax,3.3651717825273063e-06,3.531665033320736e-06
A.4_Brate,1.2961107492343582e-06,1.4474311271608709e-06
A.4_pfail,0.0011159430523714176,0.0003304318371369891
A.5_Bmax,0.0,0.0
A.5_Brate,0.0,0.0
A.5_pfail,0.020871010729344733,0.004841560581670843
discount rate 0,0.02270174292638498,0.002817848583711737
discount rate 1,0.009680707873938689,0.002000399131415191
discount rate 2,0.004811254368191689,0.0010172842706216707
